,Stvarna potrošnja,Random Forest predikcija,LSTM predikcija,Temperatura,Sat,Mjesec,Vikend
2018-03-18 15:00:00,26947.0,26688.78,27626.954221439362,10.78000000000003,15,3,1
2018-03-18 16:00:00,26037.999999999996,26656.293333333335,27102.319994163514,12.0,16,3,1
2018-03-18 17:00:00,25660.0,26461.55,27098.193534088135,10.78000000000003,17,3,1
2018-03-18 18:00:00,26016.0,29159.95166666667,27789.812659645082,10.980000000000018,18,3,1
2018-03-18 19:00:00,28432.0,29049.27,29100.39835481644,11.5,19,3,1
2018-03-18 20:00:00,31049.0,32549.73,30473.498699283602,10.0,20,3,1
2018-03-18 21:00:00,31326.0,31594.42,30862.570167160036,9.240000000000009,21,3,1
2018-03-18 22:00:00,30251.0,30056.60666666667,29101.45316591263,8.430000000000007,22,3,1
2018-03-18 23:00:00,27994.0,27900.747666666666,26230.51129808426,7.860000000000014,23,3,1
2018-03-19 00:00:00,25534.0,25071.468833333332,24414.248675060273,7.860000000000014,0,3,0
2018-03-19 01:00:00,23947.0,23792.7,23206.24335899353,7.430000000000007,1,3,0
2018-03-19 02:00:00,22964.0,22408.22,22179.47265777588,7.0,2,3,0
2018-03-19 03:00:00,22525.0,21546.09,21762.289985847474,6.430000000000007,3,3,0
2018-03-19 04:00:00,22565.0,21439.59,22023.946621704104,5.860000000000014,4,3,0
2018-03-19 05:00:00,23382.0,22628.94,23197.807311916353,5.430000000000007,5,3,0
2018-03-19 06:00:00,26119.0,24933.491428571426,25656.20572328568,5.0,6,3,0
2018-03-19 07:00:00,29534.0,27418.871666666666,28871.824208641054,3.910000000000025,7,3,0
2018-03-19 08:00:00,32424.0,30935.093999999997,31422.914145088198,3.7200000000000273,8,3,0
2018-03-19 09:00:00,34137.0,27644.22,32894.0997130394,3.7800000000000296,9,3,0
2018-03-19 10:00:00,35071.0,28455.92,33646.87102355957,4.3700000000000045,10,3,0
2018-03-19 11:00:00,35525.0,28533.37,33868.77690792084,4.800000000000011,11,3,0
2018-03-19 12:00:00,35444.0,29403.04,33628.41915445328,4.770000000000039,12,3,0
2018-03-19 13:00:00,35394.0,30349.97,33040.75508079529,5.160000000000025,13,3,0
2018-03-19 14:00:00,34266.0,31932.36,32320.07249116898,5.600000000000023,14,3,0
2018-03-19 15:00:00,33388.0,31397.0,31744.929415893555,5.980000000000018,15,3,0
2018-03-19 16:00:00,33167.0,30708.2,31570.39236316681,7.189999999999998,16,3,0
2018-03-19 17:00:00,33058.0,31467.84,31981.465920829774,8.200000000000045,17,3,0
2018-03-19 18:00:00,33193.0,30712.94,32862.06715106964,7.189999999999998,18,3,0
2018-03-19 19:00:00,34932.0,33376.04,33854.54184150696,6.180000000000007,19,3,0
2018-03-19 20:00:00,36596.0,35002.72,34346.113112640385,5.980000000000018,20,3,0
2018-03-19 21:00:00,35612.0,33455.98,33602.637324905394,5.740000000000009,21,3,0
2018-03-19 22:00:00,33194.0,31736.45,31194.493825531008,4.490000000000009,22,3,0
2018-03-19 23:00:00,30203.999999999996,28589.61,28230.784740161896,5.0,23,3,0
2018-03-20 00:00:00,27949.0,25948.3,26269.61011772156,4.0,0,3,0
2018-03-20 01:00:00,26130.0,23431.82,24941.59318084717,3.430000000000007,1,3,0
2018-03-20 02:00:00,25035.000000000004,23924.04,23651.246673583988,2.8600000000000136,2,3,0
2018-03-20 03:00:00,24598.0,22639.8,22923.14378089905,3.430000000000007,3,3,0
2018-03-20 04:00:00,24502.0,22891.32,22880.585083198548,3.430000000000007,4,3,0
2018-03-20 05:00:00,25157.0,23832.91,23793.23596725464,3.2900000000000205,5,3,0
2018-03-20 06:00:00,28064.0,25086.09,26117.968814182284,2.8600000000000136,6,3,0
2018-03-20 07:00:00,32055.0,29420.43,29389.57286348343,3.650000000000034,7,3,0
2018-03-20 08:00:00,35538.0,32049.3,31995.168698310856,3.240000000000009,8,3,0
2018-03-20 09:00:00,37161.0,31586.87,33459.993657684325,2.180000000000007,9,3,0
2018-03-20 10:00:00,37708.0,30175.57,34243.295889377594,3.3600000000000136,10,3,0
2018-03-20 11:00:00,37743.0,27373.37,34562.1198682785,4.360000000000014,11,3,0
2018-03-20 12:00:00,37526.0,28148.01,34462.5793961525,4.970000000000027,12,3,0
2018-03-20 13:00:00,37199.0,29036.73,33999.21943845749,6.170000000000016,13,3,0
2018-03-20 14:00:00,36287.0,28092.49,33329.69030361176,6.160000000000025,14,3,0
2018-03-20 15:00:00,35573.0,28230.47,32719.61881923676,6.9500000000000455,15,3,0
2018-03-20 16:00:00,35040.0,29424.36,32458.125776767734,8.25,16,3,0
2018-03-20 17:00:00,34700.0,28078.51,32764.716876983646,7.980000000000018,17,3,0
2018-03-20 18:00:00,34535.0,29714.91,33579.37043848038,7.770000000000039,18,3,0
2018-03-20 19:00:00,36659.0,33685.76,34455.05898370743,6.770000000000039,19,3,0
2018-03-20 20:00:00,38575.0,33604.61,34822.00871887207,4.770000000000039,20,3,0
2018-03-20 21:00:00,37753.0,32983.74,34047.67482318878,4.740000000000009,21,3,0
2018-03-20 22:00:00,34913.0,32143.07,31583.575060176852,3.740000000000009,22,3,0
